code,name,strategy,buy_price,current_price,return_pct
301365,矩阵股份,momentum,28.08,29.98,6.766381766381774
301196,唯科科技,momentum,89.99,92.48,2.7669741082342587
300720,海川智能,momentum,56.85,57.83,1.7238346525945414
300308,中际旭创,momentum,170.0,612.0,260.0
002730,电光科技,momentum,21.63,22.96,6.148867313915867
002809,红墙股份,reversal,12.15,11.24,-7.489711934156379
300900,广联航空,reversal,35.5,39.01,9.887323943661967
600410,华胜天成,reversal,12.8,25.18,96.71874999999999
300606,金太阳,reversal,18.5,36.31,96.27027027027029
605286,同力天启,reversal,22.3,48.0,115.24663677130044
